s_code,s_name,d_name,c_name,enroll12,num_tst_takr,avg_scr_read,avg_scr_eng,avg_scr_math,avg_scr_sci,num_ge21,pct_ge21,pct_tst_takr
117077.0,APEX Academy,Los Angeles Unified,Los Angeles,82.0,30.0,15.0,13.0,15.0,15.0,0.0,0.0,0.366
1037456.0,Tranquillity High,Golden Plains Unified,Fresno,120.0,19.0,15.0,14.0,15.0,15.0,0.0,0.0,0.158
3630019.0,Eric Birch High (Continuation),Fontana Unified,San Bernardino,142.0,113.0,13.0,11.0,13.0,13.0,0.0,0.0,0.796
126490.0,Augustus F. Hawkins High B Community Health Advocates,Los Angeles Unified,Los Angeles,93.0,25.0,15.0,13.0,15.0,15.0,0.0,0.0,0.269
118851.0,King-Chavez Community High,San Diego Unified,San Diego,87.0,17.0,16.0,13.0,15.0,15.0,0.0,0.0,0.195
733659.0,John F. Kennedy High,West Contra Costa Unified,Contra Costa,197.0,15.0,16.0,16.0,14.0,14.0,0.0,0.0,0.076
120071.0,New Designs Charter School-Watts,Los Angeles Unified,Los Angeles,47.0,25.0,14.0,11.0,15.0,15.0,0.0,0.0,0.532
3630480.0,Citrus High (Continuation),Fontana Unified,San Bernardino,181.0,103.0,12.0,10.0,12.0,12.0,0.0,0.0,0.569
1934371.0,Thomas Jefferson Senior High,Los Angeles Unified,Los Angeles,116.0,50.0,15.0,14.0,16.0,16.0,1.0,0.02,0.431
124529.0,Rancho Dominguez Preparatory,Los Angeles Unified,Los Angeles,129.0,43.0,16.0,15.0,17.0,17.0,1.0,0.0233,0.333
119875.0,S.F. International High,San Francisco Unified,San Francisco,100.0,43.0,13.0,12.0,15.0,15.0,1.0,0.0233,0.43
1931567.0,Centennial High,Compton Unified,Los Angeles,214.0,153.0,14.0,13.0,15.0,15.0,4.0,0.026099999999999998,0.715
117598.0,Alliance Piera Barbaglia Shaheen Health Services Academy,Los Angeles Unified,Los Angeles,105.0,143.0,15.0,13.0,15.0,15.0,4.0,0.027999999999999997,1.362
125617.0,ACE Charter High,East Side Union High,Santa Clara,41.0,34.0,14.0,14.0,15.0,15.0,1.0,0.0294,0.829
1630953.0,Avenal High,Reef-Sunset Unified,Kings,149.0,112.0,16.0,14.0,16.0,16.0,4.0,0.035699999999999996,0.752
3434636.0,Hiram W. Johnson High,Sacramento City Unified,Sacramento,364.0,28.0,15.0,15.0,17.0,17.0,1.0,0.035699999999999996,0.077
127910.0,Camino Nuevo High #2,Los Angeles Unified,Los Angeles,112.0,82.0,16.0,15.0,15.0,15.0,3.0,0.0366,0.732
124479.0,Dr. Maya Angelou Community High,Los Angeles Unified,Los Angeles,147.0,27.0,17.0,15.0,16.0,16.0,1.0,0.037000000000000005,0.184
1936046.0,Morningside High,Inglewood Unified,Los Angeles,193.0,51.0,17.0,15.0,16.0,16.0,2.0,0.0392,0.264
126748.0,LPS Oakland R & D Campus,Oakland Unified,Alameda,111.0,99.0,15.0,13.0,16.0,16.0,4.0,0.0404,0.892
133280.0,PUC Nueva Esperanza Charter Academy,Los Angeles Unified,Los Angeles,0.0,22.0,16.0,15.0,16.0,16.0,1.0,0.0455,inf
1932326.0,Dominguez High,Compton Unified,Los Angeles,391.0,268.0,15.0,14.0,15.0,15.0,13.0,0.048499999999999995,0.685
1931963.0,Compton High,Compton Unified,Los Angeles,354.0,274.0,15.0,13.0,15.0,15.0,14.0,0.051100000000000007,0.774
117721.0,Contreras Learning Center-Academic Leadership Community,Los Angeles Unified,Los Angeles,84.0,58.0,14.0,13.0,15.0,15.0,3.0,0.051699999999999996,0.69
1035831.0,Roosevelt High,Fresno Unified,Fresno,447.0,18.0,16.0,14.0,17.0,17.0,1.0,0.0556,0.04
108092.0,Orange Cove High,Kings Canyon Joint Unified,Fresno,122.0,33.0,16.0,15.0,16.0,16.0,2.0,0.060599999999999994,0.27
124495.0,Communication and Technology at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,103.0,33.0,15.0,14.0,15.0,15.0,2.0,0.060599999999999994,0.32
