s_code,s_name,d_name,c_name,enroll12,num_tst_takr,avg_scr_read,avg_scr_eng,avg_scr_math,avg_scr_sci,num_ge21,pct_ge21,pct_tst_takr
4333795.0,Abraham Lincoln High,San Jose Unified,Santa Clara,463.0,53.0,23.0,22.0,23.0,23.0,34.0,0.6415000000000001,0.114
1935121.0,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,226.0,19.0,21.0,20.0,22.0,22.0,11.0,0.5789,0.084
109926.0,Academia Avance Charter,SBE - Academia Avance Charter,Los Angeles,65.0,33.0,15.0,15.0,16.0,16.0,3.0,0.0909,0.508
126615.0,Academies of Education and Empowerment at Carson High,Los Angeles Unified,Los Angeles,126.0,16.0,18.0,18.0,17.0,17.0,5.0,0.3125,0.127
126003.0,Academies of the Antelope Valley,Antelope Valley Union High,Los Angeles,14.0,1.0,,,,,,,0.071
119958.0,Academy (The)- SF @McAteer,San Francisco Unified,San Francisco,84.0,9.0,,,,,,,0.107
3631207.0,Academy for Academic Excellence,Apple Valley Unified,San Bernardino,97.0,13.0,,,,,,,0.134
126573.0,Academy for Multilingual Arts and Science at Mervyn M. Dymally High,Los Angeles Unified,Los Angeles,141.0,10.0,,,,,,,0.071
116723.0,Academy of Careers and Exploration,Helendale Elementary,San Bernardino,63.0,5.0,,,,,,,0.079
126623.0,Academy of Medical Arts at Carson High,Los Angeles Unified,Los Angeles,126.0,14.0,,,,,,,0.111
1996321.0,Academy of the Canyons,William S. Hart Union High,Los Angeles,104.0,36.0,29.0,29.0,25.0,25.0,34.0,0.9444,0.346
108688.0,Academy of the Redwoods,Fortuna Union High,Humboldt,47.0,6.0,,,,,,,0.128
107524.0,Acalanes Center for Independent Study,Acalanes Union High,Contra Costa,19.0,2.0,,,,,,,0.105
730283.0,Acalanes High,Acalanes Union High,Contra Costa,353.0,99.0,29.0,29.0,27.0,27.0,93.0,0.9394,0.28
125617.0,ACE Charter High,East Side Union High,Santa Clara,41.0,34.0,14.0,14.0,15.0,15.0,1.0,0.0294,0.829
125419.0,Adelanto High,Victor Valley Union High,San Bernardino,430.0,28.0,19.0,17.0,18.0,18.0,8.0,0.2857,0.065
5631619.0,Adolfo Camarillo High,Oxnard Union High,Ventura,507.0,91.0,23.0,23.0,22.0,22.0,55.0,0.6043999999999999,0.179
4338802.0,Adrian Wilcox High,Santa Clara Unified,Santa Clara,458.0,138.0,25.0,24.0,24.0,24.0,93.0,0.6739,0.301
1930080.0,Agoura High,Las Virgenes Unified,Los Angeles,459.0,140.0,27.0,26.0,24.0,24.0,114.0,0.8143,0.305
118588.0,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,382.0,112.0,14.0,14.0,15.0,15.0,7.0,0.0625,0.293
130609.0,Alameda Community Learning Center,Alameda Unified,Alameda,31.0,5.0,,,,,,,0.161
130229.0,Alameda High,Alameda Unified,Alameda,463.0,93.0,28.0,27.0,26.0,26.0,85.0,0.914,0.201
106401.0,Alameda Science and Technology Institute,Alameda Unified,Alameda,43.0,12.0,,,,,,,0.279
130450.0,Albany High,Albany City Unified,Alameda,296.0,58.0,28.0,27.0,26.0,26.0,51.0,0.8793000000000001,0.196
1933852.0,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,585.0,139.0,23.0,23.0,21.0,21.0,75.0,0.5396,0.238
1930163.0,Alhambra High,Alhambra Unified,Los Angeles,648.0,93.0,24.0,25.0,23.0,23.0,69.0,0.7419,0.144
730549.0,Alhambra Senior High,Martinez Unified,Contra Costa,284.0,40.0,25.0,23.0,23.0,23.0,30.0,0.75,0.141
2730109.0,Alisal High,Salinas Union High,Monterey,651.0,206.0,18.0,17.0,18.0,18.0,47.0,0.22820000000000001,0.316
3030574.0,Aliso Niguel High,Capistrano Unified,Orange,749.0,286.0,26.0,27.0,26.0,26.0,254.0,0.8881,0.382
127217.0,Alliance Alice M. Baxter College-Ready High,Los Angeles Unified,Los Angeles,61.0,77.0,17.0,16.0,18.0,18.0,12.0,0.1558,1.262
121285.0,Alliance Cindy and Bill Simon Technology Academy High,Los Angeles Unified,Los Angeles,123.0,155.0,15.0,14.0,16.0,16.0,13.0,0.0839,1.26
108936.0,Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,141.0,70.0,18.0,20.0,18.0,18.0,19.0,0.27140000000000003,0.496
111500.0,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,101.0,80.0,16.0,16.0,17.0,17.0,14.0,0.175,0.792
106864.0,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,123.0,8.0,,,,,,,0.065
108894.0,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,Los Angeles,138.0,162.0,16.0,16.0,17.0,17.0,24.0,0.1481,1.174
117606.0,Alliance Leichtman-Levine Family Foundation Environmental Science High,Los Angeles Unified,Los Angeles,128.0,155.0,18.0,18.0,18.0,18.0,40.0,0.2581,1.211
111658.0,Alliance Marc & Eva Stern Math and Science,Los Angeles Unified,Los Angeles,141.0,157.0,19.0,18.0,19.0,19.0,48.0,0.3057,1.113
124941.0,Alliance Margaret M. Bloomfield Technology Academy High,Los Angeles Unified,Los Angeles,114.0,139.0,17.0,16.0,16.0,16.0,19.0,0.1367,1.219
116509.0,Alliance Morgan McKinzie High,Los Angeles Unified,Los Angeles,73.0,86.0,15.0,13.0,16.0,16.0,7.0,0.0814,1.178
111641.0,Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles Unified,Los Angeles,130.0,148.0,15.0,14.0,16.0,16.0,16.0,0.1081,1.138
111492.0,Alliance Patti And Peter Neuwirth Leadership Academy,Los Angeles Unified,Los Angeles,131.0,164.0,16.0,14.0,16.0,16.0,18.0,0.10980000000000001,1.252
117598.0,Alliance Piera Barbaglia Shaheen Health Services Academy,Los Angeles Unified,Los Angeles,105.0,143.0,15.0,13.0,15.0,15.0,4.0,0.027999999999999997,1.362
124891.0,Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified,Los Angeles,131.0,147.0,16.0,14.0,16.0,16.0,12.0,0.0816,1.122
123133.0,Alliance Susan and Eric Smidt Technology High,Los Angeles Unified,Los Angeles,137.0,14.0,,,,,,,0.102
123141.0,Alliance Ted K. Tajima High,Los Angeles Unified,Los Angeles,59.0,110.0,17.0,16.0,17.0,17.0,24.0,0.2182,1.864
121293.0,Alliance Tennenbaum Family Technology High,Los Angeles Unified,Los Angeles,89.0,89.0,15.0,14.0,16.0,16.0,10.0,0.1124,1.0
3630225.0,Alta Loma High,Chaffey Joint Union High,San Bernardino,634.0,56.0,23.0,22.0,22.0,22.0,34.0,0.6071,0.088
120402.0,Alta Vista Alternative High,Santa Barbara Unified,Santa Barbara,61.0,8.0,,,,,,,0.131
330753.0,Amador High,Amador County Unified,Amador,154.0,17.0,25.0,25.0,24.0,24.0,16.0,0.9412,0.11
130583.0,Amador Valley High,Pleasanton Unified,Alameda,654.0,280.0,29.0,29.0,28.0,28.0,258.0,0.9214,0.428
121087.0,American Canyon High,Napa Valley Unified,Napa,412.0,41.0,23.0,23.0,24.0,24.0,31.0,0.7561,0.1
130062.0,American High,Fremont Unified,Alameda,538.0,136.0,29.0,30.0,29.0,29.0,126.0,0.9265000000000001,0.253
111856.0,American Indian Public High,Oakland Unified,Alameda,62.0,3.0,,,,,,,0.048
3030228.0,Anaheim High,Anaheim Union High,Orange,722.0,66.0,19.0,18.0,19.0,19.0,23.0,0.34850000000000003,0.091
