s_code,s_name,d_name,c_name,enroll12,num_tst_takr,pct_tst_takr
1995570.0,Educational Partnership High,Long Beach Unified,Los Angeles,563.0,1.0,0.002
134247.0,California STEAM San Bernardino,Trona Joint Unified,San Bernardino,305.0,1.0,0.003
3033610.0,La Vista High (Continuation),Fullerton Joint Union High,Orange,224.0,1.0,0.004
134890.0,San Diego Workforce Innovation High,Borrego Springs Unified,San Diego,273.0,1.0,0.004
125161.0,Castlemont High,Oakland Unified,Alameda,182.0,1.0,0.005
3730231.0,Twain High,San Diego Unified,San Diego,196.0,1.0,0.005
1934421.0,Bowman (Jereann) High (Continuation),William S. Hart Union High,Los Angeles,308.0,2.0,0.006
730572.0,Independence High,Liberty Union High,Contra Costa,169.0,1.0,0.006
112045.0,Arleta High,Los Angeles Unified,Los Angeles,311.0,2.0,0.006
136648.0,Options for Youth-Acton,Acton-Agua Dulce Unified,Los Angeles,165.0,1.0,0.006
730259.0,Prospects High (Alternative),Antioch Unified,Contra Costa,175.0,1.0,0.006
3731395.0,Audeo Charter,San Diego Unified,San Diego,172.0,1.0,0.006
3030368.0,Coast High,Huntington Beach Union High,Orange,139.0,1.0,0.007
1996263.0,Opportunities for Learning - Santa Clarita,William S. Hart Union High,Los Angeles,149.0,1.0,0.007
128462.0,Taylion High Desert Academy/Adelanto,Adelanto Elementary,San Bernardino,142.0,1.0,0.007
3035748.0,Richland Continuation High,Orange Unified,Orange,134.0,1.0,0.007
102079.0,Murrieta Canyon Academy,Murrieta Valley Unified,Riverside,135.0,1.0,0.007
1996115.0,City of Angels,Los Angeles Unified,Los Angeles,292.0,2.0,0.007
3630472.0,Mojave High,Hesperia Unified,San Bernardino,149.0,1.0,0.007
114462.0,Health Sciences High,San Diego Unified,San Diego,141.0,1.0,0.007
124610.0,El Puente,Salinas Union High,Monterey,146.0,1.0,0.007
125427.0,Calero High,East Side Union High,Santa Clara,257.0,2.0,0.008
109108.0,Citrus Hill High,Val Verde Unified,Riverside,481.0,4.0,0.008
117440.0,CIS Academy,Pasadena Unified,Los Angeles,115.0,1.0,0.009
132472.0,California Pacific Charter - San Diego,Warner Unified,San Diego,108.0,1.0,0.009
3630365.0,Chaparral High,Snowline Joint Unified,San Bernardino,98.0,1.0,0.01
1996503.0,Renaissance High School for the Arts,Long Beach Unified,Los Angeles,99.0,1.0,0.01
1030295.0,Erma Duncan Polytechnical High,Fresno Unified,Fresno,210.0,2.0,0.01
3031945.0,El Camino Real Continuation High,Placentia-Yorba Linda Unified,Orange,93.0,1.0,0.011
3035987.0,Junipero Serra High,Capistrano Unified,Orange,89.0,1.0,0.011
129007.0,California Virtual Academy at Sutter,Meridian Elementary,Sutter,91.0,1.0,0.011
128488.0,Family First Charter,Centinela Valley Union High,Los Angeles,92.0,1.0,0.011
5030259.0,Waterford High,Waterford Unified,Stanislaus,163.0,2.0,0.012
119651.0,Sun Valley High,Los Angeles Unified,Los Angeles,85.0,1.0,0.012
730325.0,Vista High (Alternative),West Contra Costa Unified,Contra Costa,170.0,2.0,0.012
107078.0,Kearny Digital Media & Design,San Diego Unified,San Diego,86.0,1.0,0.012
3430717.0,Visions In Education,San Juan Unified,Sacramento,1107.0,13.0,0.012
2431203.0,Dos Palos High,Dos Palos Oro Loma Joint Unified,Merced,159.0,2.0,0.013
2730232.0,Monterey County Home Charter,Monterey County Office of Education,Monterey,79.0,1.0,0.013
126508.0,Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship,Los Angeles Unified,Los Angeles,78.0,1.0,0.013
109751.0,Visalia Charter Independent Study,Visalia Unified,Tulare,232.0,3.0,0.013
115089.0,Sky Mountain Charter,Lucerne Valley Unified,San Bernardino,70.0,1.0,0.014
3730959.0,Charter School of San Diego,San Diego Unified,San Diego,499.0,7.0,0.014
125674.0,Condor High,Oxnard Union High,Ventura,214.0,3.0,0.014
5036850.0,Riverbank High,Riverbank Unified,Stanislaus,144.0,2.0,0.014
4430187.0,Delta Charter,Santa Cruz City High,Santa Cruz,66.0,1.0,0.015
3330636.0,Susan H. Nelson,Temecula Valley Unified,Riverside,137.0,2.0,0.015
6114011.0,Independent Study Sojourner Truth,Oakland Unified,Alameda,66.0,1.0,0.015
6120893.0,California Virtual Academy @ San Diego,Spencer Valley Elementary,San Diego,183.0,3.0,0.016
6120588.0,Pathways Charter,Harmony Union Elementary,Sonoma,64.0,1.0,0.016
1031376.0,Coalinga High,Coalinga-Huron Unified,Fresno,236.0,4.0,0.017
930123.0,Charter Community School Home Study Academy,El Dorado County Office of Education,El Dorado,111.0,2.0,0.018
112458.0,California Connections Academy@Central,Alpaugh Unified,Tulare,56.0,1.0,0.018
3035409.0,Orange High,Orange Unified,Orange,396.0,7.0,0.018
3130036.0,Phoenix High (Continuation),Western Placer Unified,Placer,55.0,1.0,0.018
5830138.0,Marysville Charter Academy for the Arts,Marysville Joint Unified,Yuba,56.0,1.0,0.018
1930775.0,Bellflower High,Bellflower Unified,Los Angeles,367.0,7.0,0.019
