s_code,s_name,d_name,c_name,enroll12,num_tst_takr12,num_erw_bmark12,pct_erw_bmark12,num_math_bmark12,pct_math_bmark12,tot_num_both_bmark12,pct_both_bmark12,pct_tst_takr
634758.0,Maxwell Sr High,Maxwell Unified,Colusa,29.0,10.0,,,,,,,0.3448275862068966
1930924.0,Belmont Senior High,Los Angeles Unified,Los Angeles,206.0,102.0,31.0,0.3039,14.0,0.1373,14.0,0.1373,0.49514563106796117
1931476.0,Canoga Park Senior High,Los Angeles Unified,Los Angeles,227.0,113.0,54.0,0.4779,18.0,0.1593,18.0,0.1593,0.4977973568281938
1931856.0,Whitman Continuation,Los Angeles Unified,Los Angeles,18.0,14.0,,,,,,,0.7777777777777778
6061451.0,Foshay Learning Center,Los Angeles Unified,Los Angeles,166.0,106.0,68.0,0.6415000000000001,36.0,0.3396,36.0,0.3396,0.6385542168674698
3034956.0,Mission Viejo High,Saddleback Valley Unified,Orange,562.0,190.0,161.0,0.8473999999999999,138.0,0.7263,132.0,0.6947,0.33807829181494664
3336955.0,Abraham Lincoln Continuation,Riverside Unified,Riverside,114.0,17.0,3.0,0.1765,2.0,0.1176,2.0,0.1176,0.14912280701754385
1332501.0,Calipatria High,Calipatria Unified,Imperial,91.0,27.0,14.0,0.5185,6.0,0.22219999999999998,5.0,0.1852,0.2967032967032967
119685.0,New Open World Academy K-12,Los Angeles Unified,Los Angeles,85.0,68.0,17.0,0.25,6.0,0.0882,6.0,0.0882,0.8
3331600.0,Corona High,Corona-Norco Unified,Riverside,581.0,204.0,148.0,0.7254999999999999,88.0,0.4314,82.0,0.402,0.35111876075731496
111807.0,Mojave River Academy,Oro Grande,San Bernardino,7.0,1.0,,,,,,,0.14285714285714285
1996586.0,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145.0,68.0,45.0,0.6618,30.0,0.4412,29.0,0.4265,0.4689655172413793
1930387.0,Central High,Los Angeles Unified,Los Angeles,104.0,4.0,,,,,,,0.038461538461538464
3335759.0,Palo Verde High,Palo Verde Unified,Riverside,174.0,38.0,27.0,0.7105,13.0,0.3421,12.0,0.31579999999999997,0.21839080459770116
3630563.0,Lucerne Valley High,Lucerne Valley Unified,San Bernardino,36.0,7.0,,,,,,,0.19444444444444445
3630423.0,Apple Valley High,Apple Valley Unified,San Bernardino,551.0,186.0,150.0,0.8065000000000001,70.0,0.3763,67.0,0.3602,0.33756805807622503
6061964.0,The O'Farrell Charter,San Diego Unified,San Diego,125.0,64.0,44.0,0.6875,33.0,0.5156000000000001,28.0,0.4375,0.512
1030683.0,Clovis East High,Clovis Unified,Fresno,584.0,237.0,161.0,0.6793,103.0,0.4346,94.0,0.39659999999999995,0.4058219178082192
127720.0,Rivercrest Preparatory,Jurupa Unified,Riverside,31.0,1.0,,,,,,,0.03225806451612903
108159.0,Cesar Chavez High,Stockton Unified,San Joaquin,521.0,192.0,96.0,0.5,50.0,0.26039999999999996,39.0,0.20309999999999997,0.3685220729366603
1938885.0,University High School Charter,Los Angeles Unified,Los Angeles,336.0,193.0,121.0,0.6269,82.0,0.4249,76.0,0.39380000000000004,0.5744047619047619
1996115.0,City of Angels,Los Angeles Unified,Los Angeles,292.0,23.0,14.0,0.6087,7.0,0.3043,7.0,0.3043,0.07876712328767123
6120158.0,New West Charter,SBE - New West Charter,Los Angeles,90.0,47.0,43.0,0.9148999999999999,33.0,0.7021,32.0,0.6809000000000001,0.5222222222222223
1934553.0,Mark Keppel High,Alhambra Unified,Los Angeles,579.0,269.0,241.0,0.8959,230.0,0.855,215.0,0.7993000000000001,0.46459412780656306
2935500.0,Nevada Union High,Nevada Joint Union High,Nevada,353.0,89.0,78.0,0.8764,64.0,0.7191,62.0,0.6966,0.2521246458923513
3035102.0,University High,Irvine Unified,Orange,633.0,205.0,189.0,0.922,185.0,0.9024,179.0,0.8732,0.32385466034755134
4137790.0,Westmoor High,Jefferson Union High,San Mateo,395.0,344.0,213.0,0.6192,169.0,0.4913,153.0,0.4448,0.8708860759493671
735316.0,Pinole Valley High,West Contra Costa Unified,Contra Costa,266.0,249.0,117.0,0.46990000000000004,60.0,0.24100000000000002,58.0,0.2329,0.9360902255639098
1237007.0,South Fork Junior - Senior High,Southern Humboldt Joint Unified,Humboldt,50.0,13.0,,,,,,,0.26
100081.0,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668.0,166.0,112.0,0.6747,50.0,0.3012,46.0,0.2771,0.24850299401197604
1930213.0,Antelope Valley High,Antelope Valley Union High,Los Angeles,454.0,83.0,37.0,0.4458,9.0,0.1084,8.0,0.0964,0.1828193832599119
1936749.0,Paramount High,Paramount Unified,Los Angeles,1135.0,932.0,352.0,0.37770000000000004,185.0,0.1985,158.0,0.16949999999999998,0.8211453744493392
128561.0,Rocklin Independent Charter Academy,Rocklin Unified,Placer,42.0,2.0,,,,,,,0.047619047619047616
4134557.0,Mills High,San Mateo Union High,San Mateo,299.0,147.0,137.0,0.932,132.0,0.898,126.0,0.8571,0.4916387959866221
4137279.0,South San Francisco High,South San Francisco Unified,San Mateo,292.0,86.0,71.0,0.8256,53.0,0.6163000000000001,51.0,0.593,0.2945205479452055
133397.0,Granada High,Livermore Valley Joint Unified,Alameda,567.0,178.0,157.0,0.882,143.0,0.8034,132.0,0.7415999999999999,0.31393298059964725
1136209.0,Princeton Junior-Senior High,Princeton Joint Unified,Glenn,15.0,3.0,,,,,,,0.2
115212.0,Magnolia Science Academy 2,Los Angeles County Office of Education,Los Angeles,41.0,17.0,10.0,0.5882000000000001,6.0,0.3529,6.0,0.3529,0.4146341463414634
121954.0,Road to Success Academy at Campus Kilpatrick,Los Angeles County Office of Education,Los Angeles,20.0,1.0,,,,,,,0.05
