s_code,s_name,d_name,c_name,enroll12,num_tst_takr12,pct_tst_takr
106120.0,SIATech,Vista Unified,San Diego,475.0,1.0,0.002105263157894737
5034913.0,Robert Elliott Alternative Education Center,Modesto City High,Stanislaus,327.0,1.0,0.0030581039755351682
1939784.0,Joseph Pomeroy Widney Career Preparatory and Transition Center,Los Angeles Unified,Los Angeles,284.0,1.0,0.0035211267605633804
3330065.0,Alessandro High,Hemet Unified,Riverside,221.0,1.0,0.004524886877828055
3930468.0,San Joaquin County Community,San Joaquin County Office of Education,San Joaquin,218.0,1.0,0.0045871559633027525
3732047.0,Palomar High,Sweetwater Union High,San Diego,215.0,1.0,0.004651162790697674
3737962.0,Garfield High,San Diego Unified,San Diego,208.0,1.0,0.004807692307692308
1931732.0,Desert Winds Continuation High,Antelope Valley Union High,Los Angeles,377.0,2.0,0.005305039787798408
135590.0,Uplift California Santa Barbara,Cuyama Joint Unified,Santa Barbara,186.0,1.0,0.005376344086021506
3630480.0,Citrus High (Continuation),Fontana Unified,San Bernardino,181.0,1.0,0.0055248618784530384
127209.0,Insight School of California,Maricopa Unified,Kern,179.0,1.0,0.00558659217877095
730259.0,Prospects High (Alternative),Antioch Unified,Contra Costa,175.0,1.0,0.005714285714285714
1937176.0,Reid High,Long Beach Unified,Los Angeles,154.0,1.0,0.006493506493506494
1934421.0,Bowman (Jereann) High (Continuation),William S. Hart Union High,Los Angeles,308.0,2.0,0.006493506493506494
3731304.0,MAAC Community Charter,Sweetwater Union High,San Diego,153.0,1.0,0.006535947712418301
4330759.0,Boynton High,Campbell Union High,Santa Clara,152.0,1.0,0.006578947368421052
1931641.0,Tracy (Wilbur) High (Continuation),ABC Unified,Los Angeles,147.0,1.0,0.006802721088435374
124610.0,El Puente,Salinas Union High,Monterey,146.0,1.0,0.00684931506849315
3630019.0,Eric Birch High (Continuation),Fontana Unified,San Bernardino,142.0,1.0,0.007042253521126761
118075.0,Learning Works,Pasadena Unified,Los Angeles,141.0,1.0,0.0070921985815602835
4330247.0,Wilson Alternative,Santa Clara Unified,Santa Clara,140.0,1.0,0.007142857142857143
130146.0,Rudsdale Continuation,Oakland Unified,Alameda,139.0,1.0,0.007194244604316547
1935428.0,Vista High,Lynwood Unified,Los Angeles,136.0,1.0,0.007352941176470588
133009.0,Brenkwitz High,Hayward Unified,Alameda,132.0,1.0,0.007575757575757576
131169.0,Valiant Academy of Southern California,Dehesa Elementary,San Diego,131.0,1.0,0.007633587786259542
109900.0,Vista Real Charter High,Ventura County Office of Education,Ventura,130.0,1.0,0.007692307692307693
1938190.0,Somerset Continuation High,Bellflower Unified,Los Angeles,129.0,1.0,0.007751937984496124
733998.0,La Paloma High (Continuation),Liberty Union High,Contra Costa,128.0,1.0,0.0078125
1031632.0,Dewolf Continuation High,Fresno Unified,Fresno,126.0,1.0,0.007936507936507936
5036884.0,Roselawn High,Turlock Unified,Stanislaus,119.0,1.0,0.008403361344537815
3030335.0,La Sierra High (Alternative),Fullerton Joint Union High,Orange,235.0,2.0,0.00851063829787234
125401.0,Insight @ San Diego,Spencer Valley Elementary,San Diego,116.0,1.0,0.008620689655172414
5030200.0,Argus High (Continuation),Ceres Unified,Stanislaus,116.0,1.0,0.008620689655172414
1932698.0,Ruben Salazar Continuation,El Rancho Unified,Los Angeles,112.0,1.0,0.008928571428571428
830059.0,Castle Rock,Del Norte County Office of Education,Del Norte,108.0,1.0,0.009259259259259259
110494.0,Bidwell Continuation High,Antioch Unified,Contra Costa,107.0,1.0,0.009345794392523364
1031004.0,Gateway High (Continuation),Clovis Unified,Fresno,104.0,1.0,0.009615384615384616
1996644.0,R. Rex Parris High,Antelope Valley Union High,Los Angeles,410.0,4.0,0.00975609756097561
5830112.0,Yuba County Career Preparatory Charter,Yuba County Office of Education,Yuba,102.0,1.0,0.00980392156862745
1931765.0,Sierra High,Azusa Unified,Los Angeles,101.0,1.0,0.009900990099009901
4530200.0,Pioneer Continuation High,Shasta Union High,Shasta,93.0,1.0,0.010752688172043012
2035640.0,Furman (Duane E.) High (Independent Study Program),Madera Unified,Madera,92.0,1.0,0.010869565217391304
6069157.0,Berenece Carlson Home Hospital,Los Angeles Unified,Los Angeles,91.0,1.0,0.01098901098901099
3035987.0,Junipero Serra High,Capistrano Unified,Orange,89.0,1.0,0.011235955056179775
114140.0,George and Evelyn Stein Continuation,Tracy Joint Unified,San Joaquin,87.0,1.0,0.011494252873563218
3830031.0,Wells (Ida B.) High,San Francisco Unified,San Francisco,85.0,1.0,0.011764705882352941
3730793.0,Foothills High,San Marcos Unified,San Diego,84.0,1.0,0.011904761904761904
3330172.0,Perris Lake High (Continuation),Perris Union High,Riverside,168.0,2.0,0.011904761904761904
5030267.0,Denair Charter Academy,Denair Unified,Stanislaus,83.0,1.0,0.012048192771084338
136218.0,Uplift California North Charter,Bradley Union Elementary,Monterey,83.0,1.0,0.012048192771084338
3337649.0,Mountain View High,San Jacinto Unified,Riverside,159.0,2.0,0.012578616352201259
